,Longitude (deg),Latitude (deg),Height (m),Time Uncertainty (s),Bias (s)
HK,137.3136492,36.35558472,514,0.001,0.002
IC,-63.45305556,-89.99,-2450,0.001,0.005
JUNO,112.51867,22.11827,-700,0.0012,-0.0003
KM3,16.1,36.26666667,-3600,0.001,-0.003
SK,137.3103056,36.42572222,370,0.0009,0.002
SNOP,-81.2011111,46.475,-1730,0.003,0.002
Borexino,13.566667, 42.450000,900,0.004,0.003
KL,137.3153,36.4225,0,0.003,0.002
Baksan,42.690278,43.275556, 0,0.003,0.002
DS-20K,13.566667, 42.450000, 900,0.003,0.002
DUNE,  -103.8000, 44.3052, 143,0.003,0.002
HALO, -81.199694,46.475889,-1730,0.003,0.002
LVD, 13.566667, 42.450000, 900,0.003,0.002
LZ, -103.751, 44.352, 143,0.003,0.002
MicroBooNe, -88.269494, 41.837442, 0,0.003,0.002
NOvA, -92.833611, 48.379167, 0,0.003,0.002
PandaX-4T, 101.7, 28.2, -2400,0.003,0.002
SBND, -88.269440, 41.834327, 0,0.003,0.002
XENONnT, 13.566667, 42.450000, 900,0.003,0.002
