,Longitude (deg),Latitude (deg),Height (m),Time Uncertainty (s),Bias (s)
HK,137.3136492,36.35558472,514,0.001,0.0
IceCube,-63.45305556,-89.99,-2450,0.001,0.0
JUNO,112.51867,22.11827,-700,0.0012,0.0
KM3NeT,16.1,36.26666667,-3600,0.001,0.0
Super-K,137.3103056,36.42572222,370,0.0009,0.0
SNOP,-81.2011111,46.475,-2100,0.003,0.0
Borexino,13.516389,42.421111,-1000,0.004,0.0
KamLAND,137.3153,36.4225,0,0.003,0.0
Baksan,42.690278,43.275556, 0,0.003,0.0
DS-20K,13.516389, 42.421111, 0,0.003,0.0
DUNE,  -88.257222, 41.831944, 0,0.003,0.0
HALO-1kT, -81.2011111,46.475,-2100,0.003,0.0
LVD, 13.516389, 42.421111, 0,0.003,0.0
LZ, -88.257222, 41.831944, 0,0.003,0.0
MicroBooNe, -88.257222, 41.831944, 0,0.003,0.0
NOvA, -92.833611, 48.379167, 0,0.003,0.0
PandaX-4T, 101.7, 28.2, -2400,0.003,0.0
SBND, -88.257222, 41.831944, 0,0.003,0.0
XENONnT, 13.516389, 42.421111, 0,0.003,0.0
